	序号NO.	地区REGION	产品类别CATEGORY	在华注册编号CHINA REG. NO.	所在地区注册编号OVERSEAS REG. NO.	企业名称NAME	生产场所地址ADDRESS	注册日期REG. DATE	注册有效期REG. EXPIRE DATE	状态STATE
623	624	中国台湾	食用植物油	CTWN06022112010082	N-184686390-00000-5	北斗馨油股份有限公司	彰化縣北斗鎮居仁里地政路326-1號	2021-01-02	2026-01-01	有效
624	625	中国台湾	油料	CTWN06012112010086	Q-142606509-00000-6	東和油脂開發股份有限公司	嘉義縣朴子市大鄉里大槺榔1039號	2021-01-02	2026-01-01	暂停进口
625	626	中国台湾	食用植物油	CTWN06022112010084	P-123365375-00001-8	松鼎實業股份有限公司第二廠	雲林縣虎尾鎮西屯里大屯二八八之二號	2021-01-02	2026-01-01	暂停进口
626	627	中国台湾	干果	CTWN13012112010085	B-153788908-00000-7	歐穀林國際有限公司	台中市豐原區北湳里大順街52號1樓	2021-01-02	2026-01-01	暂停进口
627	628	中国台湾	干果	CTWN13012112010086	B-154580737-00000-8	泰美貿易有限公司	高雄市大寮區民貴街60巷5號4樓	2021-01-02	2026-01-01	暂停进口
628	629	中国台湾	包馅面食	CTWN07012112010096	B-112981393-00016-2	笠豐食品有限公司	台中市大雅區雅潭路25號	2021-01-02	2026-01-01	暂停进口
629	630	中国台湾	食用植物油	CTWN06022112010083	N-184686390-00002-7	北斗馨油股份有限公司(二廠)	彰化縣北斗鎮舜耕路33-1號	2021-01-02	2026-01-01	暂停进口
630	631	中国台湾	油料	CTWN06012112010087	T-108047865-00000-5	崁頂義豐麻油廠	屏東縣崁頂鄉崁頂村中正路一之二號	2021-01-02	2026-01-01	有效
631	632	中国台湾	油料	CTWN06012112010088	T-189523537-00000-9	松竹梅農產有限公司	屏東縣九如鄉九明村衛武街98號	2021-01-02	2026-01-01	暂停进口
632	633	中国台湾	包馅面食	CTWN07012112010145	F-186718565-00000-9	大熊產業股份有限公司	新北市中和區中山路2段359巷1號5樓	2021-01-02	2026-01-01	暂停进口
633	634	中国台湾	食用植物油	CTWN06022112010045	A-116586324-00000-3	誠麗實業股份有限公司	台北市北投區致遠一路1段55號	2021-01-02	2026-01-01	暂停进口
634	635	中国台湾	包馅面食	CTWN07012112010119	D-169695981-00002-6	友賓食品工業有限公司二廠	台南市安南區安順里開安五街5號	2021-01-02	2026-01-01	暂停进口
635	636	中国台湾	食用植物油	CTWN06022112010047	A-143942918-00000-8	果懋國際有限公司	台北市中山區長春路172號6樓之9	2021-01-02	2026-01-01	暂停进口
636	637	中国台湾	食用植物油	CTWN06022112010048	A-152605607-00000-9	心苑國際企業有限公司	台北市中山區南京東路2段124號10樓	2021-01-02	2026-01-01	暂停进口
637	638	中国台湾	食用植物油	CTWN06022112010044	A-113109952-00000-8	佳德糕餅有限公司	台北市松山區南京東路5段88號	2021-01-02	2026-01-01	暂停进口
638	639	中国台湾	包馅面食	CTWN07012112010118	D-168339681-00004-9	奇美食品股份有限公司仁德廠	台南市仁德區仁愛里機場路1000號、1006號、1008號	2021-01-02	2026-01-01	暂停进口
639	640	中国台湾	食用植物油	CTWN06022112010046	A-131264218-00000-5	郭元益食品股份有限公司	台北市士林區文林路546號1樓	2021-01-02	2026-01-01	暂停进口
640	641	中国台湾	包馅面食	CTWN07012112010120	D-184371960-00000-9	儒慧實業有限公司	台南市大內區石湖里石子瀨390號	2021-01-02	2026-01-01	暂停进口
641	642	中国台湾	包馅面食	CTWN07012112010121	E-122075004-00000-2	西塢食品廠有限公司	高雄市大社區保社里中正路570號	2021-01-02	2026-01-01	暂停进口
642	643	中国台湾	油料	CTWN06012112010075	H-180392730-00001-8	雄霸生物科技有限公司	桃園市桃園區大林里興華路13之1號、13之1號2樓、13之1號3樓、13之1號4樓	2021-01-02	2026-01-01	有效
643	644	中国台湾	油料	CTWN06012112010076	I-155956268-00000-2	易兆環球有限公司	嘉義市西區福全里福義街33號1樓	2021-01-02	2026-01-01	暂停进口
644	645	中国台湾	油料	CTWN06012112010082	P-116938714-00000-2	亞世佳食品股份有限公司	雲林縣斗六市榴中里民有街6號	2021-01-02	2026-01-01	有效
645	646	中国台湾	食用植物油	CTWN06022112010089	N-112467902-00000-2	富味鄉食品股份有限公司	台北市大安區市民大道4段102號11樓	2021-01-02	2026-01-01	注销
646	647	中国台湾	食用植物油	CTWN06022112010090	N-112467902-00001-3	富味鄉食品股份有限公司	彰化縣芳苑鄉仁愛村斗苑路芳苑段七三號	2021-01-02	2026-01-01	注销
647	648	中国台湾	油料	CTWN06012112010080	N-124656365-00000-8	芝麻開門電子商務股份有限公司	台北市大安區市民大道4段102號11樓	2021-01-02	2026-01-01	暂停进口
648	649	中国台湾	油料	CTWN06012112010081	N-127387934-00000-4	鐿利有限公司	彰化縣和美鎮源埤里太平路46巷33號	2021-01-02	2026-01-01	暂停进口
649	650	中国台湾	油料	CTWN06012112010077	K-189556728-00001-9	台灣鄭美香食品股份有限公司	苗栗縣後龍鎮大山里12鄰下大山腳1之12號	2021-01-02	2026-01-01	暂停进口
650	651	中国台湾	干果	CTWN13012112010109	E-159165702-00001-8	台灣黑甜企業有限公司	高雄市大寮區後庄里民貴街60巷5號4樓	2021-01-02	2026-01-01	暂停进口
651	652	中国台湾	食用谷物	CTWN08012112010037	D-171149209-00000-4	弘昌碾米工廠	臺南市下營區賀建里下橋頭1-9號	2021-01-02	2026-01-01	暂停进口
652	653	中国台湾	包馅面食	CTWN07012112010097	B-112981393-00021-8	笠豐食品有限公司二廠	台中市神岡區社南里民生路143號	2021-01-02	2026-01-01	暂停进口
653	654	中国台湾	包馅面食	CTWN07012112010098	B-112981696-00000-1	晉謄國際有限公司	台中市西屯區中科路1669號	2021-01-02	2026-01-01	暂停进口
654	655	中国台湾	包馅面食	CTWN07012112010105	B-142663682-00000-6	禾津國際有限公司	台中市西屯區何安里四川路18號	2021-01-02	2026-01-01	暂停进口
655	656	中国台湾	包馅面食	CTWN07012112010100	B-116502839-00000-3	奕美食品有限公司	台中市西區公正里大墩七街188號1樓	2021-01-02	2026-01-01	暂停进口
656	657	中国台湾	包馅面食	CTWN07012112010101	B-122977643-00000-9	先麥食品股份有限公司	台中市西屯區上安里臺灣大道三段570號1樓	2021-01-02	2026-01-01	暂停进口
657	658	中国台湾	包馅面食	CTWN07012112010103	B-128132495-00001-4	木蘭食品有限公司	台中市大雅區上楓里民富街115號	2021-01-02	2026-01-01	暂停进口
658	659	中国台湾	包馅面食	CTWN07012112010104	B-128903964-00000-0	太陽堂烘焙食品有限公司	台中市南屯區豐樂里文心南五路一段643號1樓	2021-01-02	2026-01-01	有效
659	660	中国台湾	包馅面食	CTWN07012112010099	B-113027299-00002-4	餐御宴食品有限公司幼獅廠	台中市大甲區日南里工七路26號	2021-01-02	2026-01-01	暂停进口
660	661	中国台湾	油料	CTWN06012112010064	F-112891077-00001-9	走遍天下食品有限公司	新北市瑞芳區傑魚里頂坪路瑞芳工業區一三九號一樓	2021-01-02	2026-01-01	暂停进口
661	662	中国台湾	油料	CTWN06012112010065	F-115854384-00000-1	常新食品企業有限公司	新北市中和區立業路95號(1樓)	2021-01-02	2026-01-01	暂停进口
662	663	中国台湾	油料	CTWN06012112010066	F-146399713-00000-5	立葳食品有限公司	新北市蘆洲區國道路2段1巷52號3樓	2021-01-02	2026-01-01	暂停进口
663	664	中国台湾	油料	CTWN06012112010067	F-184628110-00000-3	義峰食品股份有限公司	新北市土城區忠義路55巷54號1樓	2021-01-02	2026-01-01	有效
664	665	中国台湾	调味料	CTWN11012112010038	P-104309819-00001-8	濟生股份有限公司斗六廠	雲林縣斗六市虎溪里科工十二路２號	2021-01-02	2026-01-01	暂停进口
665	666	中国台湾	油料	CTWN06012112010069	H-116972141-00001-7	軒曜有限公司	桃園市龜山區龍壽里東萬壽路629號2樓	2021-01-02	2026-01-01	暂停进口
666	667	中国台湾	油料	CTWN06012112010070	H-127802968-00000-7	儷健企業有限公司	桃園市八德區永興街37巷5號	2021-01-02	2022-07-19	注销
667	668	中国台湾	油料	CTWN06012112010071	H-128657415-00000-3	簡單生活開發有限公司	桃園市龜山區大坑里南上路386巷1號1至2樓	2021-01-02	2026-01-01	暂停进口
668	669	中国台湾	油料	CTWN06012112010073	H-128657415-00002-5	簡單生活開發有限公司南崁廠	桃園市蘆竹區長興里南崁路2段142巷25號	2021-01-02	2026-01-01	暂停进口
669	670	中国台湾	油料	CTWN06012112010068	F-184891060-00001-0	葆祥實業有限公司	新北市鶯歌區二橋里中正三路491巷8號	2021-01-02	2026-01-01	暂停进口
670	671	中国台湾	坚果与籽类	CTWN12012112010010	B-116279542-00000-5	元豪食品有限公司	台中市北區淡溝里大仁街80號1樓	2021-01-02	2026-01-01	暂停进口
671	672	中国台湾	坚果与籽类	CTWN12012112010009	B-112999372-00000-1	成偉食品股份有限公司	台中市梧棲區自立一街178號	2021-01-02	2026-01-01	有效
672	673	中国台湾	坚果与籽类	CTWN12012112010008	A-154330957-00000-4	綺顏國際有限公司	台北市信義區忠孝東路4段553巷22弄21號1樓	2021-01-02	2026-01-01	暂停进口
673	674	中国台湾	水产品	CTWN18PP1806010022	2FH0017	新合发冷冻食品股份有限公司	宜兰县五结乡利工二路79号	2018-06-01	2023-05-31	有效
674	675	中国台湾	水产品	CTWN18PP1806010023	2FH0018/99620201	鱼宝冷冻食品股份有限公司	宜兰县五结乡五滨路一段62号	2018-06-01	2023-05-31	有效
675	676	中国台湾	水产品	CTWN18PP1806010024	2FH0019	品创科技制造股份有限公司	宜兰县头城镇拔雅路20-1号	2018-06-01	2023-05-31	有效
676	677	中国台湾	水产品	CTWN18PP1806010101	99620451	惠众食品工业股份有限公司	宜兰县苏澳镇隘丁里信义路270巷12弄6号	2018-06-01	2023-05-31	暂停进口
677	678	中国台湾	水产品	CTWN18PP1806010025	3002623	台湾好味鲜股份有限公司	桃园市芦竹区新兴里中兴一街9号	2018-06-01	2023-05-31	暂停进口
678	679	中国台湾	水产品	CTWN18FV1806010496	CT8-0115	丰国188	高雄市前镇区渔港东二路3号423室	2018-06-01	2023-05-31	暂停进口
679	680	中国台湾	水产品	CTWN18PP1806010100	99620408	隆育企业有限公司	宜兰县冬山乡大兴村德兴四路17号	2018-06-01	2023-05-31	暂停进口
680	681	中国台湾	水产品	CTWN18FV1903220699	CTR-TT0126	順發6號	臺東縣長濱鄉長濱村15鄰長濱179之3號	2019-03-22	2024-03-21	暂停进口
681	682	中国台湾	水产品	CTWN18FV1903220700	CTR-TT0741	見發3號	臺東縣長濱鄉長濱村15鄰長濱183之7號	2019-03-22	2024-03-21	暂停进口
682	683	中国台湾	水产品	CTWN18PP1806010028	64000619	南隆冷冻制冰厂股份有限公司	高雄市鼓山区滨海一路57巷3弄36号	2018-06-01	2023-05-31	暂停进口
683	684	中国台湾	水产品	CTWN18PP1806010029	64000710	瑞洲冷冻食品股份有限公司	高雄市左营区民族一路651号	2018-06-01	2023-05-31	暂停进口
684	685	中国台湾	水产品	CTWN18PP1806010004	15000029	立川农场股份有限公司	花莲县寿丰乡共和村鱼池43号	2018-06-01	2023-05-31	暂停进口
685	686	中国台湾	水产品	CTWN18PP1806010003	13000021	台湾黑轮伯食品公司	屏东县屏东市清溪里建国路450巷20号	2018-06-01	2023-05-31	暂停进口
686	687	中国台湾	水产品	CTWN18PP1806010001	10000194	台湾波海股份有限公司	嘉义县民雄乡福乐村成功五街11号	2018-06-01	2023-05-31	暂停进口
687	688	中国台湾	水产品	CTWN18PP1806010002	12000045	鱼之达人水产股份有限公司	高雄市林园区西溪里西溪路193巷5-9号	2018-06-01	2023-05-31	暂停进口
688	689	中国台湾	水产品	CTWN18PP1806010027	4FH0002/99630404	实邦食品工业股份有限公司	新竹县竹北市中和街76号	2018-06-01	2023-05-31	有效
689	690	中国台湾	水产品	CTWN18PP1806010026	4FH0001/99629048	好得壮实业股份有限公司	桃园县杨梅市高狮路152号	2018-06-01	2023-05-31	暂停进口
690	691	中国台湾	水产品	CTWN18PP1806010005	16000004	菊之鱻食品有限公司	澎湖县马公市锁港里1062号	2018-06-01	2023-05-31	有效
691	692	中国台湾	水产品	CTWN18PP1806010006	16193474	盛洋冷冻食品股份有限公司	高雄市永安区永达路78号	2018-06-01	2023-05-31	暂停进口
692	693	中国台湾	水产品	CTWN18PP1806010007	2F30017/99620492	谊美冷冻食品股份有限公司	-	2018-06-01	2023-05-31	暂停进口
693	694	中国台湾	水产品	CTWN18PP1806010008	2F30033/99620458	圆丁冷冻企业股份有限公司	宜兰县苏澳镇隘丁里大圳路64号	2018-06-01	2023-05-31	有效
694	695	中国台湾	水产品	CTWN18FV1806010290	CT5-1707	伸 福	屏东县东港镇船头里沿海路5之7号	2018-06-01	2023-05-31	暂停进口
695	696	中国台湾	水产品	CTWN18PP1806010010	2F30039/99097781	和诚亿水产股份有限公司	宜兰县苏澳镇德兴一路29号	2018-06-01	2023-05-31	有效
696	697	中国台湾	水产品	CTWN18PP1806010011	2F30041/99620047	莹一食品工业股份有限公司	宜兰县苏澳镇龙祥一路4号	2018-06-01	2023-05-31	暂停进口
697	698	中国台湾	水产品	CTWN18FV1806010288	CT5-1695	順溢3	高雄市鳳山區保安里鳳燕二街13號	2018-06-01	2023-05-31	暂停进口
698	699	中国台湾	水产品	CTWN18FV1806010289	CT5-1698	乔和	高雄市前镇区和昌街103号	2018-06-01	2023-05-31	暂停进口
699	700	中国台湾	水产品	CTWN18PP1806010009	2F30036/99620273	鲜品冷冻食品股份有限公司	宜兰县苏澳镇龙德里自强路21号	2018-06-01	2023-05-31	有效
700	701	中国台湾	水产品	CTWN18FV1806010117	CT3-6064	鲲海盈6	屏东县新园乡共和村光复路171号	2018-06-01	2023-05-31	暂停进口
701	702	中国台湾	水产品	CTWN18PP1806010030	64004313	聚耀低温食品厂股份有限公司	高雄市小港区大业南路27号	2018-06-01	2023-05-31	暂停进口
702	703	中国台湾	水产品	CTWN18PP1806010031	64005754	安得利食品股份有限公司	高雄市前镇区新大路10号	2018-06-01	2023-05-31	暂停进口
703	704	中国台湾	水产品	CTWN18PP1806010032	64006094	昌明食品有限公司	高雄市前镇区镇北里扩建路1-27号4楼、1-28号4楼、1-29号4楼	2018-06-01	2023-05-31	暂停进口
704	705	中国台湾	水产品	CTWN18FV1806010003	CT2-3948	益泉	台东县成功镇三民里27邻开封街14号	2018-06-01	2023-05-31	暂停进口
705	706	中国台湾	水产品	CTWN18PP1806010035	64006417	住友水产股份有限公司	高雄市前镇区新衙路296巷81弄18号	2018-06-01	2023-05-31	暂停进口
706	707	中国台湾	水产品	CTWN18PP1806010036	64006612	汇永实业股份有限公司	高雄市前镇区新衙路296巷1-1号	2018-06-01	2023-05-31	暂停进口
707	708	中国台湾	水产品	CTWN18FV1806010001	CT2-1854	来福进7	屏东县东港镇盛渔里富渔三路85号	2018-06-01	2023-05-31	暂停进口
708	709	中国台湾	水产品	CTWN18FV1806010002	CT2-2623	震隆成2	屏东县东港镇镇海里富渔路191号	2018-06-01	2023-05-31	暂停进口
709	710	中国台湾	水产品	CTWN18PP1806010033	64006129	宏裕行食品有限公司	高雄市前镇区千富街261号	2018-06-01	2023-05-31	暂停进口
710	711	中国台湾	水产品	CTWN18FV1806010004	CT2-4024	渔顺发1	屏东县东港镇盛渔里兴渔街127号之22	2018-06-01	2023-05-31	暂停进口
711	712	中国台湾	水产品	CTWN18FV1806010005	CT2-4180	金财2号	台东县成功镇三民里11邻三民路133号	2018-06-01	2023-05-31	暂停进口
712	713	中国台湾	水产品	CTWN18FV1806010006	CT2-4405	满春6	台东县成功镇三民里22邻中山路147号	2018-06-01	2023-05-31	暂停进口
713	714	中国台湾	水产品	CTWN18FV1806010007	CT2-4420	满丰	台东县成功镇忠仁里23邻光复路29号	2018-06-01	2023-05-31	暂停进口
714	715	中国台湾	水产品	CTWN18FV1806010014	CT2-5923	全永发	台东县成功镇忠仁里7邻东海路65号	2018-06-01	2023-05-31	暂停进口
715	716	中国台湾	水产品	CTWN18FV1806010010	CT2-4684	威嘉	台东县成功镇三民里16邻大同路61号	2018-06-01	2023-05-31	暂停进口
716	717	中国台湾	水产品	CTWN18FV1806010011	CT2-4701	见发168	台东县长滨乡长滨村15邻长滨183之7号	2018-06-01	2023-05-31	暂停进口
717	718	中国台湾	水产品	CTWN18FV1806010012	CT2-5535	协春利	台东县成功镇信义里22邻丰田路19号之1	2018-06-01	2023-05-31	暂停进口
718	719	中国台湾	水产品	CTWN18FV1806010013	CT2-5788	合发3号	台东市富冈里7邻富冈街52巷28号	2018-06-01	2023-05-31	暂停进口
719	720	中国台湾	水产品	CTWN18FV1806010009	CT2-4609	金满丰	台东县成功镇忠智里23邻太平路28号之3	2018-06-01	2023-05-31	暂停进口
720	721	中国台湾	水产品	CTWN18FV1903220522	CT3-4209	嘉順利2號	屏東縣東港鎮嘉蓮里嘉蓮路88之2號	2019-03-22	2024-03-21	暂停进口
721	722	中国台湾	水产品	CTWN18FV1903220521	CT3-4048	金裕晟20	屏東縣琉球鄉杉福村復興路一巷37號	2019-03-22	2024-03-21	暂停进口
722	723	中国台湾	水产品	CTWN18FV1806010018	CT2-6275	裕兴号	台东县成功镇芝田路58-12号	2018-06-01	2023-05-31	暂停进口
723	724	中国台湾	水产品	CTWN18FV1806010020	CT3-2897	进财满	屏东县东港镇镇海里安渔路43巷44号	2018-06-01	2023-05-31	暂停进口
724	725	中国台湾	水产品	CTWN18PP1806010113	99653599	三和食品厂	云林县元长乡合和村三房51之2号	2018-06-01	2023-05-31	暂停进口
725	726	中国台湾	水产品	CTWN18FV1806010137	CT4-1959	新嘉和32	屏东县东港镇兴东里明智路33巷12号	2018-06-01	2023-05-31	暂停进口
726	727	中国台湾	水产品	CTWN18FV1806010138	CT4-1961	新振丰8号	屏东县琉球乡渔福村三民路35号	2018-06-01	2023-05-31	暂停进口
727	728	中国台湾	水产品	CTWN18FV1806010017	CT2-6191	三和16	台东县成功镇忠智里1邻民生路8号	2018-06-01	2023-05-31	暂停进口
728	729	中国台湾	水产品	CTWN18FV1806010016	CT2-6157	协满36号	台东县成功镇忠仁里27邻太平路14号	2018-06-01	2023-05-31	暂停进口
729	730	中国台湾	水产品	CTWN18FV1806010021	CT3-2954	捷安6	台东县成功镇忠仁里太平路20号	2018-06-01	2023-05-31	暂停进口
730	731	中国台湾	水产品	CTWN18PP1903220170	65003539	逢興生物科技股份有限公司	新北市中和區立德街148巷36號5樓及48號5樓、6樓	2019-03-22	2024-03-21	暂停进口
731	732	中国台湾	水产品	CTWN18PP1903220171	6FH0012	联瑞食品科技股份有限公司	台南市安南区工业五路22号	2019-03-22	2024-03-21	有效
732	733	中国台湾	水产品	CTWN18FV1806010015	CT2-6153	满发3	台东县成功镇三民里5邻吉林街19号	2018-06-01	2023-05-31	暂停进口
733	734	中国台湾	水产品	CTWN18FV1806010118	CT4-0058	满福财9	屏东县琉球乡天福村和平路20号	2018-06-01	2023-05-31	暂停进口
734	735	中国台湾	水产品	CTWN18FV1806010120	CT4-1250	新吉满	澎湖县望安乡将军村将军澳73号	2018-06-01	2023-05-31	暂停进口
735	736	中国台湾	水产品	CTWN18FV1806010121	CT4-1459	圣易财118号	屏东县琉球乡渔福村三民路137-4号	2018-06-01	2023-05-31	暂停进口
736	737	中国台湾	水产品	CTWN18FV1806010122	CT4-1471	建来成	屏东县东港镇盛渔里富渔四路4号	2018-06-01	2023-05-31	暂停进口
737	738	中国台湾	水产品	CTWN18PP1806010115	99654610	金福华食品贸易有限公司	云林县斗六市保长里保长路60号	2018-06-01	2023-05-31	暂停进口
738	739	中国台湾	水产品	CTWN18PP1806010114	99653969	庆丰食品厂	云林县元长乡西庄村西庄18号	2018-06-01	2023-05-31	有效
739	740	中国台湾	水产品	CTWN18FV1806010119	CT4-1238	明信成8	屏东县东港镇兴东里（路）382巷1号	2018-06-01	2023-05-31	暂停进口
740	741	中国台湾	水产品	CTWN18FV1903220505	CT2-4010	大慶13號	宜蘭縣蘇澳鎮南寧里神洲巷21之1號	2019-03-22	2024-03-21	暂停进口
741	742	中国台湾	水产品	CTWN18FV1903220504	CT2-3992	新永發號	宜蘭縣蘇澳鎮南寧里碼頭巷二十五號	2019-03-22	2024-03-21	暂停进口
742	743	中国台湾	水产品	CTWN18FV1903220503	CT2-3947	惠明春號	屏東縣東港鎮鎮海里路115-39號	2019-03-22	2024-03-21	暂停进口
743	744	中国台湾	水产品	CTWN18FV1903220506	CT2-4317	昇鴻漁號	宜蘭縣蘇澳鎮蘇南里蘇北路10號	2019-03-22	2024-03-21	暂停进口
744	745	中国台湾	水产品	CTWN18FV1806010502	CT8-0121	協豐788	高雄市前鎮區漁港東二路3號3樓311室	2018-06-01	2023-05-31	暂停进口
745	746	中国台湾	水产品	CTWN18FV1806010500	CT8-0119	日友868	高雄市新兴区民生一路296号2楼	2018-06-01	2023-05-31	暂停进口
746	747	中国台湾	水产品	CTWN18FV1806010499	CT8-0118	日友168	高雄市新兴区民生一路296号2楼	2018-06-01	2023-05-31	暂停进口
747	748	中国台湾	水产品	CTWN18FV1806010498	CT8-0117	日友768	高雄市新兴区民生一路296号2楼	2018-06-01	2023-05-31	暂停进口
748	749	中国台湾	水产品	CTWN18FV1806010497	CT8-0116	兴成发707	高雄市前镇区渔港南一路15号	2018-06-01	2023-05-31	暂停进口
749	750	中国台湾	水产品	CTWN18FV1806010501	CT8-0120	协丰789	高雄市前镇区渔港东二路3号3楼311室	2018-06-01	2023-05-31	暂停进口
750	751	中国台湾	水产品	CTWN18FV1903220653	CT6-1507	运茂1号	806高雄巿前鎮區漁港東二路3號4楼	2019-03-22	2024-03-21	暂停进口
751	752	中国台湾	水产品	CTWN18FV1903220654	CT7-0231	富常淵	高雄市苓雅區林安里福建街377巷27號8樓之2	2019-03-22	2024-03-21	暂停进口
752	753	中国台湾	水产品	CTWN18FV1903220655	CT7-0378	穩福來	高雄市前鎮區明道路115號	2019-03-22	2024-03-21	暂停进口
753	754	中国台湾	水产品	CTWN18FV1903220656	CT7-0379	穩有億	高雄市前鎮區明道路115號	2019-03-22	2024-03-21	暂停进口
754	755	中国台湾	水产品	CTWN18FV1903220657	CT7-0403	高豐101	806高雄市前鎮區民權二路6號20樓之1	2019-03-22	2024-03-21	暂停进口
755	756	中国台湾	水产品	CTWN18FV1806010369	CT7-0171	鱿达101	高雄市前镇区渔港东二路3号3楼316室	2018-06-01	2023-05-31	暂停进口
756	757	中国台湾	水产品	CTWN18FV1806010370	CT7-0177	日发3	高雄市前镇区天后街67号	2018-06-01	2023-05-31	暂停进口
757	758	中国台湾	水产品	CTWN18FV1806010371	CT7-0186	连吉盛3	高雄市前金区新田路251号	2018-06-01	2023-05-31	暂停进口
758	759	中国台湾	水产品	CTWN18FV1806010115	CT3-6043	圣升发	澎湖县望安乡将军村将军澳13号之3	2018-06-01	2023-05-31	暂停进口
759	760	中国台湾	水产品	CTWN18FV1806010116	CT3-6045	顺发隆1	屏东县东港镇镇海里安渔路16巷5号	2018-06-01	2023-05-31	暂停进口
760	761	中国台湾	水产品	CTWN18FV1903220642	CT6-1485	滿福188	806高雄市前鎮區民權二路6號32樓之一	2019-03-22	2024-03-21	暂停进口
761	762	中国台湾	水产品	CTWN18FV1903220643	CT6-1486	讚立212	高雄市前鎮區漁港東二路3號4樓	2019-03-22	2024-03-21	暂停进口
762	763	中国台湾	水产品	CTWN18FV1903220644	CT6-1487	仁浤維368號	屏東縣東港鎮新興二街43巷4號1樓	2019-03-22	2024-03-21	暂停进口
763	764	中国台湾	水产品	CTWN18FV1903220645	CT6-1488	得展116	屏東縣東港鎮中正路一段100巷80弄40號	2019-03-22	2024-03-21	暂停进口
764	765	中国台湾	水产品	CTWN18FV1903220651	CT6-1497	鮪得6	屏東縣東港鎮鎮海路7之15號1樓	2019-03-22	2024-03-21	暂停进口
765	766	中国台湾	水产品	CTWN18FV1903220647	CT6-1490	億龍號	806高雄市前鎮區后平路82號2樓之2	2019-03-22	2024-03-21	暂停进口
766	767	中国台湾	水产品	CTWN18FV1903220648	CT6-1491	豐國616	92841屏東縣東港鎮興東路307之67號1樓	2019-03-22	2024-03-21	暂停进口
767	768	中国台湾	水产品	CTWN18FV1903220649	CT6-1492	昶盈68	屏東縣東港鎮明禮五街21號1樓	2019-03-22	2024-03-21	暂停进口
768	769	中国台湾	水产品	CTWN18FV1903220650	CT6-1494	鑫順發388	高雄市前鎮區漁港東二路3號4樓418室	2019-03-22	2024-03-21	暂停进口
769	770	中国台湾	水产品	CTWN18FV1903220646	CT6-1489	鑫順發699	高雄市前鎮區明孝里漁港東二路3號	2019-03-22	2024-03-21	暂停进口
770	771	中国台湾	水产品	CTWN18FV1903220652	CT6-1505	穩浤達	928屏東縣東港鎮中正路2段402號1樓	2019-03-22	2024-03-21	暂停进口
771	772	中国台湾	水产品	CTWN18FV1903220696	CT8-0143	裕勝1號	806高雄市前鎮區后平路87號7樓	2019-03-22	2024-03-21	暂停进口
772	773	中国台湾	水产品	CTWN18FV1903220695	CT8-0142	日大鑫	806高雄市前鎮區草衙里天后街67號	2019-03-22	2024-03-21	有效
773	774	中国台湾	水产品	CTWN18FV1903220694	CT8-0141	锦大鸿101号	高雄市前镇区后平路80号2楼之2	2019-03-22	2024-03-21	暂停进口
774	775	中国台湾	水产品	CTWN18FV1806010202	CT4-2746	圣德财	屏东县琉球乡中福村三民路124号之19	2018-06-01	2023-05-31	暂停进口
775	776	中国台湾	水产品	CTWN18FV1806010201	CT4-2744	今隆发	屏东县琉球乡忠孝路18号	2018-06-01	2023-05-31	暂停进口
776	777	中国台湾	水产品	CTWN18FV1806010283	CT5-1661	新台胜366号	宜兰县苏澳镇南建里学府路35号	2018-06-01	2023-05-31	暂停进口
777	778	中国台湾	水产品	CTWN18FV1806010282	CT5-1660	春何丰366号	宜兰县苏澳镇永荣里永爱路198号	2018-06-01	2023-05-31	暂停进口
778	779	中国台湾	水产品	CTWN18FV1806010203	CT4-2756	金展祥8	屏东县琉球乡上福村仁爱路3之2号	2018-06-01	2023-05-31	暂停进口
779	780	中国台湾	水产品	CTWN18FV1806010281	CT5-1659	金进富1号	宜兰县苏澳镇新市路42号	2018-06-01	2023-05-31	暂停进口
780	781	中国台湾	水产品	CTWN18FV1806010204	CT4-2765	闽发渔	屏东县琉球乡和平路3巷31之5号	2018-06-01	2023-05-31	暂停进口
781	782	中国台湾	水产品	CTWN18FV1806010205	CT4-2767	成亿满	屏东县琉球乡中华路42之1号	2018-06-01	2023-05-31	暂停进口
782	783	中国台湾	水产品	CTWN18FV1806010206	CT4-2770	明志福12号	屏东县琉球乡上福村中华路4之16号	2018-06-01	2023-05-31	暂停进口
783	784	中国台湾	水产品	CTWN18FV1806010207	CT4-2790	庆丰89号	宜兰县苏澳镇圣湖里圣湖路27号	2018-06-01	2023-05-31	暂停进口
784	785	中国台湾	水产品	CTWN18FV1806010027	CT3-3669	圣利吉	屏东县东港镇镇海里镇海路100号之1	2018-06-01	2023-05-31	暂停进口
785	786	中国台湾	水产品	CTWN18FV1806010209	CT4-2797	建得发8号	屏东县琉球乡南福村忠孝路60之1号	2018-06-01	2023-05-31	暂停进口
786	787	中国台湾	水产品	CTWN18FV1806010210	CT4-2799	海建兴号	屏东县东港镇东和里博爱街250号	2018-06-01	2023-05-31	暂停进口
787	788	中国台湾	水产品	CTWN18FV1806010211	CT4-2801	富翔183	屏東縣琉球鄉上福村中華路99號	2018-06-01	2023-05-31	暂停进口
788	789	中国台湾	水产品	CTWN18FV1806010026	CT3-3384	东元吉2	屏东县东港镇镇海里镇海路30号之10	2018-06-01	2023-05-31	暂停进口
789	790	中国台湾	水产品	CTWN18FV1806010208	CT4-2795	吉成11号	屏东县琉球乡大福村仁爱路48号	2018-06-01	2023-05-31	暂停进口
